NCBIGENE:100125288	NCBIGENE-PRO	PR:000008039
NCBIGENE:10135	NCBIGENE-PRO	PR:000010967
NCBIGENE:10215	NCBIGENE-PRO	PR:000011632
NCBIGENE:1026	NCBIGENE-PRO	PR:000005274
NCBIGENE:1087	NCBIGENE-PRO	PR:000005306
NCBIGENE:10971	NCBIGENE-PRO	PR:000017552
NCBIGENE:112476	NCBIGENE-PRO	PR:000029695
NCBIGENE:11541	NCBIGENE-PRO	PR:000001577
NCBIGENE:116510	NCBIGENE-PRO	PR:000016352
NCBIGENE:11818	NCBIGENE-PRO	PR:000004157
NCBIGENE:12950	NCBIGENE-PRO	PR:000008444
NCBIGENE:1312	NCBIGENE-PRO	PR:000005731
NCBIGENE:13649	NCBIGENE-PRO	PR:000006933
NCBIGENE:138009	NCBIGENE-PRO	PR:000029375
NCBIGENE:1401	NCBIGENE-PRO	PR:000005897
NCBIGENE:142	NCBIGENE-PRO	PR:000012289
NCBIGENE:1432	NCBIGENE-PRO	PR:000003107
NCBIGENE:1437	NCBIGENE-PRO	PR:000005931
NCBIGENE:1446	NCBIGENE-PRO	PR:000005940
NCBIGENE:1499	NCBIGENE-PRO	PR:000002198
NCBIGENE:15377	NCBIGENE-PRO	PR:000007604
NCBIGENE:15378	NCBIGENE-PRO	PR:000008654
NCBIGENE:1544	NCBIGENE-PRO	PR:000006102
NCBIGENE:160728	NCBIGENE-PRO	PR:000015174
NCBIGENE:1613	NCBIGENE-PRO	PR:000006278
NCBIGENE:16176	NCBIGENE-PRO	PR:000001136
NCBIGENE:16193	NCBIGENE-PRO	PR:000001393
NCBIGENE:1636	NCBIGENE-PRO	PR:000001322
NCBIGENE:1642	NCBIGENE-PRO	PR:000006340
NCBIGENE:16492	NCBIGENE-PRO	PR:000000683
NCBIGENE:16519	NCBIGENE-PRO	PR:000002002
NCBIGENE:16521	NCBIGENE-PRO	PR:000002005
NCBIGENE:16526	NCBIGENE-PRO	PR:000001914
NCBIGENE:16591	NCBIGENE-PRO	PR:000009347
NCBIGENE:1676	NCBIGENE-PRO	PR:000002188
NCBIGENE:17258	NCBIGENE-PRO	PR:000010309
NCBIGENE:17260	NCBIGENE-PRO	PR:000010311
NCBIGENE:173355	NCBIGENE-PRO	PR:Q9XU98
NCBIGENE:1788	NCBIGENE-PRO	PR:000006607
NCBIGENE:18024	NCBIGENE-PRO	PR:000011170
NCBIGENE:1811	NCBIGENE-PRO	PR:000015038
NCBIGENE:183	NCBIGENE-PRO	PR:000003847
NCBIGENE:18439	NCBIGENE-PRO	PR:000012194
NCBIGENE:18439	NCBIGENE-PRO	PR:000012194
NCBIGENE:18439	NCBIGENE-PRO	PR:000012194
NCBIGENE:18439	NCBIGENE-PRO	PR:000012194
NCBIGENE:18439	NCBIGENE-PRO	PR:000012194
NCBIGENE:185	NCBIGENE-PRO	PR:000001251
NCBIGENE:1852	NCBIGENE-PRO	PR:000006759
NCBIGENE:186	NCBIGENE-PRO	PR:000001191
NCBIGENE:1906	NCBIGENE-PRO	PR:000006897
NCBIGENE:19373	NCBIGENE-PRO	PR:000003457
NCBIGENE:1956	NCBIGENE-PRO	PR:000006933
NCBIGENE:2006	NCBIGENE-PRO	PR:000007034
NCBIGENE:2017	NCBIGENE-PRO	PR:000006036
NCBIGENE:2022	NCBIGENE-PRO	PR:000001345
NCBIGENE:20249	NCBIGENE-PRO	PR:000015921
NCBIGENE:2064	NCBIGENE-PRO	PR:000002082
NCBIGENE:2065	NCBIGENE-PRO	PR:000007159
NCBIGENE:2066	NCBIGENE-PRO	PR:000007160
NCBIGENE:207	NCBIGENE-PRO	PR:000002190
NCBIGENE:2146	NCBIGENE-PRO	PR:000007278
NCBIGENE:2158	NCBIGENE-PRO	PR:000007303
NCBIGENE:21926	NCBIGENE-PRO	PR:000000134
NCBIGENE:22041	NCBIGENE-PRO	PR:Q921I1
NCBIGENE:22042	NCBIGENE-PRO	PR:000001945
NCBIGENE:2208	NCBIGENE-PRO	PR:000001880
NCBIGENE:220972	NCBIGENE-PRO	PR:000010182
NCBIGENE:221662	NCBIGENE-PRO	PR:000013789
NCBIGENE:2217	NCBIGENE-PRO	PR:000007435
NCBIGENE:22943	NCBIGENE-PRO	PR:000006499
NCBIGENE:23265	NCBIGENE-PRO	PR:000007255
NCBIGENE:23336	NCBIGENE-PRO	PR:000015885
NCBIGENE:2353	NCBIGENE-PRO	PR:000007597
NCBIGENE:23621	NCBIGENE-PRO	PR:000004615
NCBIGENE:23641	NCBIGENE-PRO	PR:000009746
NCBIGENE:23963	NCBIGENE-PRO	PR:000011606
NCBIGENE:240354	NCBIGENE-PRO	PR:000010096
NCBIGENE:24179	NCBIGENE-PRO	PR:000003847
NCBIGENE:24387	NCBIGENE-PRO	PR:000007939
NCBIGENE:24498	NCBIGENE-PRO	PR:000001393
NCBIGENE:24715	NCBIGENE-PRO	PR:P08424
NCBIGENE:2475	NCBIGENE-PRO	PR:000003041
NCBIGENE:25325	NCBIGENE-PRO	PR:000001471
NCBIGENE:25365	NCBIGENE-PRO	PR:000003681
NCBIGENE:25402	NCBIGENE-PRO	PR:000002312
NCBIGENE:259248	NCBIGENE-PRO	PR:Q8K1P8
NCBIGENE:2626	NCBIGENE-PRO	PR:000007859
NCBIGENE:26413	NCBIGENE-PRO	PR:000000103
NCBIGENE:26416	NCBIGENE-PRO	PR:000003107
NCBIGENE:2642	NCBIGENE-PRO	PR:000007892
NCBIGENE:26503	NCBIGENE-PRO	PR:000014961
NCBIGENE:27173	NCBIGENE-PRO	PR:000015123
NCBIGENE:2740	NCBIGENE-PRO	PR:000008040
NCBIGENE:287	NCBIGENE-PRO	PR:000004034
NCBIGENE:2879	NCBIGENE-PRO	PR:000008213
NCBIGENE:29126	NCBIGENE-PRO	PR:000001543
NCBIGENE:29146	NCBIGENE-PRO	PR:000001921
NCBIGENE:2932	NCBIGENE-PRO	PR:000008288
NCBIGENE:29427	NCBIGENE-PRO	PR:000003866
NCBIGENE:29475	NCBIGENE-PRO	PR:000006482
NCBIGENE:29543	NCBIGENE-PRO	PR:000016353
NCBIGENE:29577	NCBIGENE-PRO	PR:000008515
NCBIGENE:3006	NCBIGENE-PRO	PR:000008576
NCBIGENE:3007	NCBIGENE-PRO	PR:000008577
NCBIGENE:3010	NCBIGENE-PRO	PR:000008579
NCBIGENE:308	NCBIGENE-PRO	PR:000004078
NCBIGENE:3082	NCBIGENE-PRO	PR:000008534
NCBIGENE:3084	NCBIGENE-PRO	PR:000029649
NCBIGENE:30841	NCBIGENE-PRO	PR:000007368
NCBIGENE:3126	NCBIGENE-PRO	PR:000002021
NCBIGENE:328	NCBIGENE-PRO	PR:000004127
NCBIGENE:3308	NCBIGENE-PRO	PR:000003414
NCBIGENE:3362	NCBIGENE-PRO	PR:000001102
NCBIGENE:3458	NCBIGENE-PRO	PR:000000017
